model_name,question_id,question_type,question_text,prompt_type,response,is_correct,latency,final_answer,consistency_score,consistency_agreement_rate,consistency_most_common,consistency_unique_answers
llama,q1,math,Câu hỏi math q1,zero_shot,Câu trả lời của llama cho q1 sử dụng zero_shot,True,1.4147835903514243,,,,,
llama,q1,math,Câu hỏi math q1,few_shot,Câu trả lời của llama cho q1 sử dụng few_shot,True,0.9078970829910664,,,,,
llama,q1,math,Câu hỏi math q1,cot,Câu trả lời của llama cho q1 sử dụng cot,True,2.8044789688735126,,,,,
llama,q1,math,Câu hỏi math q1,cot_self_consistency_3,Đáp án q1 là B (run 1),False,1.9279221846508938,B,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_3,Đáp án q1 là C (run 2),False,2.617533280198955,C,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_3,Đáp án q1 là A (run 3),True,2.6656342110434537,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_5,Đáp án q1 là A (run 1),True,1.160666710148693,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_5,Đáp án q1 là A (run 2),True,2.9520440220343866,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_5,Đáp án q1 là A (run 3),True,0.822052458129593,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_5,Đáp án q1 là A (run 4),True,0.6963830843064152,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_5,Đáp án q1 là A (run 5),True,0.8578676350332297,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_7,Đáp án q1 là A (run 1),True,0.6149988997487927,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_7,Đáp án q1 là A (run 2),True,1.5646367011433115,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_7,Đáp án q1 là A (run 3),True,1.9680142068181952,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_7,Đáp án q1 là A (run 4),True,2.5002615388230702,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_7,Đáp án q1 là A (run 5),True,1.0439422810375882,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_7,Đáp án q1 là A (run 6),True,1.0288469978831503,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,math,Câu hỏi math q1,cot_self_consistency_7,Đáp án q1 là A (run 7),True,1.0720312758427937,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,zero_shot,Câu trả lời của llama cho q1 sử dụng zero_shot,True,2.8271577319717944,,,,,
llama,q1,reasoning,Câu hỏi reasoning q1,few_shot,Câu trả lời của llama cho q1 sử dụng few_shot,True,2.072904523831924,,,,,
llama,q1,reasoning,Câu hỏi reasoning q1,cot,Câu trả lời của llama cho q1 sử dụng cot,True,2.379804523947316,,,,,
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_3,Đáp án q1 là A (run 1),True,0.6564808300173748,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_3,Đáp án q1 là A (run 2),True,2.6911630199243564,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_3,Đáp án q1 là D (run 3),False,1.7786396730026581,D,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_5,Đáp án q1 là A (run 1),True,0.6029285814441178,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_5,Đáp án q1 là A (run 2),True,2.694496634618219,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_5,Đáp án q1 là A (run 3),True,2.413617268945469,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_5,Đáp án q1 là A (run 4),True,2.557244574621397,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_5,Đáp án q1 là A (run 5),True,2.200891384623369,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_7,Đáp án q1 là A (run 1),True,2.117639106296126,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_7,Đáp án q1 là D (run 2),False,0.6895279651516999,D,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_7,Đáp án q1 là A (run 3),True,0.611353421326168,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_7,Đáp án q1 là A (run 4),True,1.7585223146674518,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_7,Đáp án q1 là A (run 5),True,2.627139990610652,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_7,Đáp án q1 là A (run 6),True,0.8032144699810548,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,reasoning,Câu hỏi reasoning q1,cot_self_consistency_7,Đáp án q1 là A (run 7),True,0.8929882038576188,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,zero_shot,Câu trả lời của llama cho q1 sử dụng zero_shot,True,2.5448410469908804,,,,,
llama,q1,factual,Câu hỏi factual q1,few_shot,Câu trả lời của llama cho q1 sử dụng few_shot,True,0.7712918446133522,,,,,
llama,q1,factual,Câu hỏi factual q1,cot,Câu trả lời của llama cho q1 sử dụng cot,True,0.9936392171121304,,,,,
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_3,Đáp án q1 là A (run 1),True,0.7585075763297406,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_3,Đáp án q1 là A (run 2),True,2.3227240255613903,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_3,Đáp án q1 là C (run 3),False,2.9325407013337883,C,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_5,Đáp án q1 là A (run 1),True,2.244409178803054,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_5,Đáp án q1 là A (run 2),True,0.8209965387894422,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_5,Đáp án q1 là D (run 3),False,0.8926457905722471,D,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_5,Đáp án q1 là A (run 4),True,0.6037009291689195,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_5,Đáp án q1 là A (run 5),True,1.6637001304621608,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_7,Đáp án q1 là A (run 1),True,2.306743197257524,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_7,Đáp án q1 là A (run 2),True,0.9238429010823302,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_7,Đáp án q1 là A (run 3),True,1.453927235420037,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_7,Đáp án q1 là A (run 4),True,2.6493531792424374,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_7,Đáp án q1 là C (run 5),False,1.8025470979997507,C,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_7,Đáp án q1 là B (run 6),False,1.0141027751372507,B,0.8222222222222222,0.8222222222222222,A,4.0
llama,q1,factual,Câu hỏi factual q1,cot_self_consistency_7,Đáp án q1 là A (run 7),True,1.2650168368921908,A,0.8222222222222222,0.8222222222222222,A,4.0
llama,q2,math,Câu hỏi math q2,zero_shot,Câu trả lời của llama cho q2 sử dụng zero_shot,True,2.3404996871095167,,,,,
llama,q2,math,Câu hỏi math q2,few_shot,Câu trả lời của llama cho q2 sử dụng few_shot,True,2.609561745423947,,,,,
llama,q2,math,Câu hỏi math q2,cot,Câu trả lời của llama cho q2 sử dụng cot,True,2.554680045035672,,,,,
llama,q2,math,Câu hỏi math q2,cot_self_consistency_3,Đáp án q2 là A (run 1),True,1.3866315200866772,A,0.9111111111111111,0.9111111111111111,A,4.0
llama,q2,math,Câu hỏi math q2,cot_self_consistency_3,Đáp án q2 là A (run 2),True,2.376154434971908,A,0.9111111111111111,0.9111111111111111,A,4.0
